Time,AHU-001:DesPer 1:Des Heat Mass Flow [kg/s],AHU-001:DesPer 1:Des Heat Cap [W],AHU-001:DesPer 1:Des Cool Mass Flow [kg/s],AHU-001:DesPer 1:Des Sens Cool Cap [W],AHU-001:DesPer 1:Des Tot Cool Cap [W],AHU-001:DesPer 2:Des Heat Mass Flow [kg/s],AHU-001:DesPer 2:Des Heat Cap [W],AHU-001:DesPer 2:Des Cool Mass Flow [kg/s],AHU-001:DesPer 2:Des Sens Cool Cap [W],AHU-001:DesPer 2:Des Tot Cool Cap [W],AHU-002:DesPer 1:Des Heat Mass Flow [kg/s],AHU-002:DesPer 1:Des Heat Cap [W],AHU-002:DesPer 1:Des Cool Mass Flow [kg/s],AHU-002:DesPer 1:Des Sens Cool Cap [W],AHU-002:DesPer 1:Des Tot Cool Cap [W],AHU-002:DesPer 2:Des Heat Mass Flow [kg/s],AHU-002:DesPer 2:Des Heat Cap [W],AHU-002:DesPer 2:Des Cool Mass Flow [kg/s],AHU-002:DesPer 2:Des Sens Cool Cap [W],AHU-002:DesPer 2:Des Tot Cool Cap [W],AHU-003:DesPer 1:Des Heat Mass Flow [kg/s],AHU-003:DesPer 1:Des Heat Cap [W],AHU-003:DesPer 1:Des Cool Mass Flow [kg/s],AHU-003:DesPer 1:Des Sens Cool Cap [W],AHU-003:DesPer 1:Des Tot Cool Cap [W],AHU-003:DesPer 2:Des Heat Mass Flow [kg/s],AHU-003:DesPer 2:Des Heat Cap [W],AHU-003:DesPer 2:Des Cool Mass Flow [kg/s],AHU-003:DesPer 2:Des Sens Cool Cap [W],AHU-003:DesPer 2:Des Tot Cool Cap [W],AHU-004:DesPer 1:Des Heat Mass Flow [kg/s],AHU-004:DesPer 1:Des Heat Cap [W],AHU-004:DesPer 1:Des Cool Mass Flow [kg/s],AHU-004:DesPer 1:Des Sens Cool Cap [W],AHU-004:DesPer 1:Des Tot Cool Cap [W],AHU-004:DesPer 2:Des Heat Mass Flow [kg/s],AHU-004:DesPer 2:Des Heat Cap [W],AHU-004:DesPer 2:Des Cool Mass Flow [kg/s],AHU-004:DesPer 2:Des Sens Cool Cap [W],AHU-004:DesPer 2:Des Tot Cool Cap [W],AHU-005:DesPer 1:Des Heat Mass Flow [kg/s],AHU-005:DesPer 1:Des Heat Cap [W],AHU-005:DesPer 1:Des Cool Mass Flow [kg/s],AHU-005:DesPer 1:Des Sens Cool Cap [W],AHU-005:DesPer 1:Des Tot Cool Cap [W],AHU-005:DesPer 2:Des Heat Mass Flow [kg/s],AHU-005:DesPer 2:Des Heat Cap [W],AHU-005:DesPer 2:Des Cool Mass Flow [kg/s],AHU-005:DesPer 2:Des Sens Cool Cap [W],AHU-005:DesPer 2:Des Tot Cool Cap [W],FCU-001:DesPer 1:Des Heat Mass Flow [kg/s],FCU-001:DesPer 1:Des Heat Cap [W],FCU-001:DesPer 1:Des Cool Mass Flow [kg/s],FCU-001:DesPer 1:Des Sens Cool Cap [W],FCU-001:DesPer 1:Des Tot Cool Cap [W],FCU-001:DesPer 2:Des Heat Mass Flow [kg/s],FCU-001:DesPer 2:Des Heat Cap [W],FCU-001:DesPer 2:Des Cool Mass Flow [kg/s],FCU-001:DesPer 2:Des Sens Cool Cap [W],FCU-001:DesPer 2:Des Tot Cool Cap [W],FCU-002:DesPer 1:Des Heat Mass Flow [kg/s],FCU-002:DesPer 1:Des Heat Cap [W],FCU-002:DesPer 1:Des Cool Mass Flow [kg/s],FCU-002:DesPer 1:Des Sens Cool Cap [W],FCU-002:DesPer 1:Des Tot Cool Cap [W],FCU-002:DesPer 2:Des Heat Mass Flow [kg/s],FCU-002:DesPer 2:Des Heat Cap [W],FCU-002:DesPer 2:Des Cool Mass Flow [kg/s],FCU-002:DesPer 2:Des Sens Cool Cap [W],FCU-002:DesPer 2:Des Tot Cool Cap [W],FCU-003:DesPer 1:Des Heat Mass Flow [kg/s],FCU-003:DesPer 1:Des Heat Cap [W],FCU-003:DesPer 1:Des Cool Mass Flow [kg/s],FCU-003:DesPer 1:Des Sens Cool Cap [W],FCU-003:DesPer 1:Des Tot Cool Cap [W],FCU-003:DesPer 2:Des Heat Mass Flow [kg/s],FCU-003:DesPer 2:Des Heat Cap [W],FCU-003:DesPer 2:Des Cool Mass Flow [kg/s],FCU-003:DesPer 2:Des Sens Cool Cap [W],FCU-003:DesPer 2:Des Tot Cool Cap [W]
00:05:00,1.292323E+00,3.966910E+04,1.284883E+00,0.000000E+00,0.000000E+00,1.284883E+00,0.000000E+00,3.036542E+00,2.847286E+04,3.159263E+04,1.827583E-01,5.637939E+03,1.827583E-01,0.000000E+00,0.000000E+00,1.827583E-01,0.000000E+00,5.762350E-01,5.298564E+03,5.781650E+03,2.550951E-01,7.869469E+03,2.550951E-01,0.000000E+00,0.000000E+00,2.550951E-01,0.000000E+00,7.200638E-01,6.666885E+03,7.308189E+03,1.570312E-01,4.844280E+03,1.570312E-01,0.000000E+00,0.000000E+00,1.570312E-01,0.000000E+00,4.863876E-01,4.477156E+03,4.878850E+03,1.039137E-01,3.205651E+03,3.575954E+00,2.727333E+04,2.535168E+04,1.039137E-01,0.000000E+00,4.142159E+00,3.601517E+04,3.682172E+04,2.326258E-02,1.262283E+03,2.326258E-02,0.000000E+00,0.000000E+00,2.326258E-02,4.017098E+02,4.485189E-02,4.279049E+02,4.805363E+02,6.780411E-02,3.679212E+03,6.780411E-02,0.000000E+00,0.000000E+00,6.780411E-02,1.170875E+03,4.766337E-01,4.239889E+03,4.457417E+03,4.106572E-02,2.228323E+03,4.106572E-02,0.000000E+00,0.000000E+00,4.106572E-02,7.091432E+02,2.890457E-01,2.571111E+03,2.704818E+03
00:10:00,1.292323E+00,3.966910E+04,1.284883E+00,0.000000E+00,0.000000E+00,1.284883E+00,0.000000E+00,3.022485E+00,2.823633E+04,3.133672E+04,1.827583E-01,5.637939E+03,1.827583E-01,0.000000E+00,0.000000E+00,1.827583E-01,0.000000E+00,5.742291E-01,5.264866E+03,5.744398E+03,2.550951E-01,7.869469E+03,2.550951E-01,0.000000E+00,0.000000E+00,2.550951E-01,0.000000E+00,7.171691E-01,6.619027E+03,7.257452E+03,1.570312E-01,4.844280E+03,1.570312E-01,0.000000E+00,0.000000E+00,1.570312E-01,0.000000E+00,4.851638E-01,4.452525E+03,4.852526E+03,1.039137E-01,3.205651E+03,3.575944E+00,2.727324E+04,2.535159E+04,1.039137E-01,0.000000E+00,4.141169E+00,3.599731E+04,3.679747E+04,2.326258E-02,1.262283E+03,2.326258E-02,0.000000E+00,0.000000E+00,2.326258E-02,4.037902E+02,4.475185E-02,4.249590E+02,4.773897E+02,6.780411E-02,3.679212E+03,6.780411E-02,0.000000E+00,0.000000E+00,6.780411E-02,1.176939E+03,4.759665E-01,4.228054E+03,4.444160E+03,4.106572E-02,2.228323E+03,4.106572E-02,0.000000E+00,0.000000E+00,4.106572E-02,7.128158E+02,2.885804E-01,2.563412E+03,2.696249E+03
00:15:00,1.292323E+00,3.966910E+04,1.284883E+00,0.000000E+00,0.000000E+00,1.284883E+00,0.000000E+00,3.008629E+00,2.800155E+04,3.107854E+04,1.827583E-01,5.637939E+03,1.827583E-01,0.000000E+00,0.000000E+00,1.827583E-01,0.000000E+00,5.722445E-01,5.231351E+03,5.706233E+03,2.550951E-01,7.869469E+03,2.550951E-01,0.000000E+00,0.000000E+00,2.550951E-01,0.000000E+00,7.143039E-01,6.571425E+03,7.206341E+03,1.570312E-01,4.844280E+03,1.570312E-01,0.000000E+00,0.000000E+00,1.570312E-01,0.000000E+00,4.839502E-01,4.427981E+03,4.825824E+03,1.039137E-01,3.205651E+03,3.575934E+00,2.727316E+04,2.535150E+04,1.039137E-01,0.000000E+00,4.140183E+00,3.597949E+04,3.677549E+04,2.326258E-02,1.262283E+03,2.326258E-02,0.000000E+00,0.000000E+00,2.326258E-02,4.058706E+02,4.465351E-02,4.220278E+02,4.742291E+02,6.780411E-02,3.679212E+03,6.780411E-02,0.000000E+00,0.000000E+00,6.780411E-02,1.183003E+03,4.753050E-01,4.216266E+03,4.430615E+03,4.106572E-02,2.228323E+03,4.106572E-02,0.000000E+00,0.000000E+00,4.106572E-02,7.164884E+02,2.881194E-01,2.555751E+03,2.687516E+03
00:20:00,1.292322E+00,3.966910E+04,1.284883E+00,0.000000E+00,0.000000E+00,1.284883E+00,0.000000E+00,2.994963E+00,2.776841E+04,3.082299E+04,1.827583E-01,5.637939E+03,1.827583E-01,0.000000E+00,0.000000E+00,1.827583E-01,0.000000E+00,5.702795E-01,5.198008E+03,5.668505E+03,2.550951E-01,7.869469E+03,2.550951E-01,0.000000E+00,0.000000E+00,2.550951E-01,0.000000E+00,7.114666E-01,6.524064E+03,7.155644E+03,1.570312E-01,4.844280E+03,1.570312E-01,0.000000E+00,0.000000E+00,1.570312E-01,0.000000E+00,4.827460E-01,4.403520E+03,4.799314E+03,1.039137E-01,3.205651E+03,3.575924E+00,2.727307E+04,2.535141E+04,1.039137E-01,0.000000E+00,4.139202E+00,3.596171E+04,3.675692E+04,2.326258E-02,1.262283E+03,2.326258E-02,0.000000E+00,0.000000E+00,2.326258E-02,4.079511E+02,4.455677E-02,4.191105E+02,4.710899E+02,6.780411E-02,3.679212E+03,6.780411E-02,0.000000E+00,0.000000E+00,6.780411E-02,1.189067E+03,4.746486E-01,4.204524E+03,4.417470E+03,4.106572E-02,2.228323E+03,4.106572E-02,0.000000E+00,0.000000E+00,4.106572E-02,7.201610E+02,2.876623E-01,2.548124E+03,2.679033E+03
00:25:00,1.292322E+00,3.966910E+04,1.284883E+00,0.000000E+00,0.000000E+00,1.284883E+00,0.000000E+00,2.981480E+00,2.753685E+04,3.057189E+04,1.827583E-01,5.637939E+03,1.827583E-01,0.000000E+00,0.000000E+00,1.827583E-01,0.000000E+00,5.683335E-01,5.164827E+03,5.631704E+03,2.550951E-01,7.869469E+03,2.550951E-01,0.000000E+00,0.000000E+00,2.550951E-01,0.000000E+00,7.086565E-01,6.476939E+03,7.105650E+03,1.570312E-01,4.844280E+03,1.570312E-01,0.000000E+00,0.000000E+00,1.570312E-01,0.000000E+00,4.815510E-01,4.379137E+03,4.773205E+03,1.039137E-01,3.205651E+03,3.575914E+00,2.727299E+04,2.535133E+04,1.039137E-01,0.000000E+00,4.138225E+00,3.594397E+04,3.673938E+04,2.326258E-02,1.262283E+03,2.326258E-02,0.000000E+00,0.000000E+00,2.326258E-02,4.100315E+02,4.446153E-02,4.162061E+02,4.679862E+02,6.780411E-02,3.679212E+03,6.780411E-02,0.000000E+00,0.000000E+00,6.780411E-02,1.195131E+03,4.739972E-01,4.192825E+03,4.404859E+03,4.106572E-02,2.228323E+03,4.106572E-02,0.000000E+00,0.000000E+00,4.106572E-02,7.238336E+02,2.872090E-01,2.540530E+03,2.670881E+03
00:30:00,1.292322E+00,3.966909E+04,1.284883E+00,0.000000E+00,0.000000E+00,1.284883E+00,0.000000E+00,2.968165E+00,2.730675E+04,3.032509E+04,1.827583E-01,5.637939E+03,1.827583E-01,0.000000E+00,0.000000E+00,1.827583E-01,0.000000E+00,5.664042E-01,5.131792E+03,5.595779E+03,2.550951E-01,7.869469E+03,2.550951E-01,0.000000E+00,0.000000E+00,2.550951E-01,0.000000E+00,7.058725E-01,6.430039E+03,7.056321E+03,1.570312E-01,4.844280E+03,1.570312E-01,0.000000E+00,0.000000E+00,1.570312E-01,0.000000E+00,4.803644E-01,4.354828E+03,4.747476E+03,1.039137E-01,3.205651E+03,3.575904E+00,2.727290E+04,2.535124E+04,1.039137E-01,0.000000E+00,4.137254E+00,3.592627E+04,3.672160E+04,2.326258E-02,1.262283E+03,2.326258E-02,0.000000E+00,0.000000E+00,2.326258E-02,4.121119E+02,4.436770E-02,4.133140E+02,4.649172E+02,6.780411E-02,3.679212E+03,6.780411E-02,0.000000E+00,0.000000E+00,6.780411E-02,1.201194E+03,4.733504E-01,4.181165E+03,4.392639E+03,4.106572E-02,2.228323E+03,4.106572E-02,0.000000E+00,0.000000E+00,4.106572E-02,7.275062E+02,2.867594E-01,2.532967E+03,2.662973E+03
00:35:00,1.292322E+00,3.966909E+04,1.284883E+00,0.000000E+00,0.000000E+00,1.284883E+00,0.000000E+00,2.955009E+00,2.707802E+04,3.008192E+04,1.827583E-01,5.637939E+03,1.827583E-01,0.000000E+00,0.000000E+00,1.827583E-01,0.000000E+00,5.644905E-01,5.098892E+03,5.560541E+03,2.550951E-01,7.869469E+03,2.550951E-01,0.000000E+00,0.000000E+00,2.550951E-01,0.000000E+00,7.031138E-01,6.383358E+03,7.007550E+03,1.570312E-01,4.844280E+03,1.570312E-01,0.000000E+00,0.000000E+00,1.570312E-01,0.000000E+00,4.791860E-01,4.330589E+03,4.722053E+03,1.039137E-01,3.205651E+03,3.575895E+00,2.727282E+04,2.535116E+04,1.039137E-01,0.000000E+00,4.136287E+00,3.590861E+04,3.670361E+04,2.326258E-02,1.262283E+03,2.326258E-02,0.000000E+00,0.000000E+00,2.326258E-02,4.141923E+02,4.427522E-02,4.104334E+02,4.618789E+02,6.780411E-02,3.679212E+03,6.780411E-02,0.000000E+00,0.000000E+00,6.780411E-02,1.207258E+03,4.727081E-01,4.169545E+03,4.380645E+03,4.106572E-02,2.228323E+03,4.106572E-02,0.000000E+00,0.000000E+00,4.106572E-02,7.311788E+02,2.863133E-01,2.525436E+03,2.655208E+03
00:40:00,1.292322E+00,3.966909E+04,1.284883E+00,0.000000E+00,0.000000E+00,1.284883E+00,0.000000E+00,2.942006E+00,2.685061E+04,2.984180E+04,1.827583E-01,5.637939E+03,1.827583E-01,0.000000E+00,0.000000E+00,1.827583E-01,0.000000E+00,5.625917E-01,5.066120E+03,5.525822E+03,2.550951E-01,7.869469E+03,2.550951E-01,0.000000E+00,0.000000E+00,2.550951E-01,0.000000E+00,7.003797E-01,6.336890E+03,6.959236E+03,1.570312E-01,4.844280E+03,1.570312E-01,0.000000E+00,0.000000E+00,1.570312E-01,0.000000E+00,4.780153E-01,4.306418E+03,4.696864E+03,1.039137E-01,3.205651E+03,3.575886E+00,2.727274E+04,2.535107E+04,1.039137E-01,0.000000E+00,4.135324E+00,3.589099E+04,3.668566E+04,2.326258E-02,1.262283E+03,2.326258E-02,0.000000E+00,0.000000E+00,2.326258E-02,4.162728E+02,4.418400E-02,4.075638E+02,4.588671E+02,6.780411E-02,3.679212E+03,6.780411E-02,0.000000E+00,0.000000E+00,6.780411E-02,1.213322E+03,4.720700E-01,4.157961E+03,4.368772E+03,4.106572E-02,2.228323E+03,4.106572E-02,0.000000E+00,0.000000E+00,4.106572E-02,7.348514E+02,2.858706E-01,2.517933E+03,2.647522E+03
00:45:00,1.292322E+00,3.966909E+04,1.284883E+00,0.000000E+00,0.000000E+00,1.284883E+00,0.000000E+00,2.929150E+00,2.662448E+04,2.960432E+04,1.827583E-01,5.637939E+03,1.827583E-01,0.000000E+00,0.000000E+00,1.827583E-01,0.000000E+00,5.607069E-01,5.033470E+03,5.491513E+03,2.550951E-01,7.869469E+03,2.550951E-01,0.000000E+00,0.000000E+00,2.550951E-01,0.000000E+00,6.976698E-01,6.290631E+03,6.911317E+03,1.570312E-01,4.844280E+03,1.570312E-01,0.000000E+00,0.000000E+00,1.570312E-01,0.000000E+00,4.768521E-01,4.282311E+03,4.671866E+03,1.039137E-01,3.205651E+03,3.575877E+00,2.727266E+04,2.535099E+04,1.039137E-01,0.000000E+00,4.134366E+00,3.587341E+04,3.666780E+04,2.326258E-02,1.262283E+03,2.326258E-02,0.000000E+00,0.000000E+00,2.326258E-02,4.183532E+02,4.409399E-02,4.047047E+02,4.558788E+02,6.780411E-02,3.679212E+03,6.780411E-02,0.000000E+00,0.000000E+00,6.780411E-02,1.219386E+03,4.714361E-01,4.146412E+03,4.356973E+03,4.106572E-02,2.228323E+03,4.106572E-02,0.000000E+00,0.000000E+00,4.106572E-02,7.385240E+02,2.854312E-01,2.510460E+03,2.639889E+03
00:50:00,1.292321E+00,3.966909E+04,1.284883E+00,0.000000E+00,0.000000E+00,1.284883E+00,0.000000E+00,2.916424E+00,2.639947E+04,2.936904E+04,1.827583E-01,5.637939E+03,1.827583E-01,0.000000E+00,0.000000E+00,1.827583E-01,0.000000E+00,5.588338E-01,5.000921E+03,5.457520E+03,2.550951E-01,7.869469E+03,2.550951E-01,0.000000E+00,0.000000E+00,2.550951E-01,0.000000E+00,6.949807E-01,6.244553E+03,6.863715E+03,1.570312E-01,4.844280E+03,1.570312E-01,0.000000E+00,0.000000E+00,1.570312E-01,0.000000E+00,4.756952E-01,4.258258E+03,4.647013E+03,1.039137E-01,3.205651E+03,3.575868E+00,2.727259E+04,2.535091E+04,1.039137E-01,0.000000E+00,4.133412E+00,3.585587E+04,3.665000E+04,2.326258E-02,1.262283E+03,2.326258E-02,0.000000E+00,0.000000E+00,2.326258E-02,4.204336E+02,4.400509E-02,4.018551E+02,4.529105E+02,6.780411E-02,3.679212E+03,6.780411E-02,0.000000E+00,0.000000E+00,6.780411E-02,1.225450E+03,4.708055E-01,4.134894E+03,4.345224E+03,4.106572E-02,2.228323E+03,4.106572E-02,0.000000E+00,0.000000E+00,4.106572E-02,7.421966E+02,2.849947E-01,2.503011E+03,2.632292E+03
